date,window_idx,ok,msg,window_train_start,window_train_end,window_oos_start,window_oos_end,gvkey,A_hat_oos,theta_oos,L_proxy,PD_P,PD_Q,alpha,beta1,delta,beta0,em_converged,em_n_iter
2015-11-13,6,True,ok,2013-10-04,2015-09-25,2015-10-02,2015-12-25,220940,99944109524.90515,-8.559231015676342,56703000000.0,9.078491478749133e-12,1.725474209855177e-09,150.10711231961093,37.6928962440444,1.316978987038924,-0.26891093415887884,False,10.0
2015-11-20,6,True,ok,2013-10-04,2015-09-25,2015-10-02,2015-12-25,220940,100728603911.05754,-8.565029242898088,56703000000.0,5.134590408557798e-12,1.0455168618257748e-09,150.10711231961093,37.6928962440444,1.316978987038924,-0.26891093415887884,False,10.0
2015-11-27,6,True,ok,2013-10-04,2015-09-25,2015-10-02,2015-12-25,220940,100955995441.63303,-8.594234144533011,56703000000.0,4.351243396919675e-12,9.184499496184762e-10,150.10711231961093,37.6928962440444,1.316978987038924,-0.26891093415887884,False,10.0
2015-12-04,6,True,ok,2013-10-04,2015-09-25,2015-10-02,2015-12-25,220940,97806931420.68115,-8.500140239523496,56703000000.0,4.245283980421546e-11,6.516238702566897e-09,150.10711231961093,37.6928962440444,1.316978987038924,-0.26891093415887884,False,10.0
2015-12-11,6,True,ok,2013-10-04,2015-09-25,2015-10-02,2015-12-25,220940,96413901308.75159,-8.545663684829979,56703000000.0,1.1501402271401541e-10,1.6060260962944496e-08,150.10711231961093,37.6928962440444,1.316978987038924,-0.26891093415887884,False,10.0
2015-12-18,6,True,ok,2013-10-04,2015-09-25,2015-10-02,2015-12-25,220940,97672434087.57677,-8.57124160065706,56703000000.0,4.6755752227246954e-11,7.378827306835933e-09,150.10711231961093,37.6928962440444,1.316978987038924,-0.26891093415887884,False,10.0
2015-12-25,6,True,ok,2013-10-04,2015-09-25,2015-10-02,2015-12-25,220940,97593796160.95828,-8.572804913005694,56703000000.0,4.9469378628366177e-11,7.761249358548649e-09,150.10711231961093,37.6928962440444,1.316978987038924,-0.26891093415887884,False,10.0
2016-01-01,7,True,ok,2014-01-03,2015-12-25,2016-01-01,2016-03-25,220940,97946440463.60121,-9.803720379699877,56703000000.0,5.277161572435806e-10,2.1071275767373232e-07,90.21245418098482,17.894926324699927,0.9885046673165738,-0.09853769832042175,False,10.0
2016-01-08,7,True,ok,2014-01-03,2015-12-25,2016-01-01,2016-03-25,220940,97478392168.4034,-9.838497347575574,56703000000.0,6.924890051651266e-10,2.692308967292764e-07,90.21245418098482,17.894926324699927,0.9885046673165738,-0.09853769832042175,False,10.0
2016-01-15,7,True,ok,2014-01-03,2015-12-25,2016-01-01,2016-03-25,220940,97641231649.81432,-9.823734152101704,56703000000.0,6.300382679279601e-10,2.4688370676241446e-07,90.21245418098482,17.894926324699927,0.9885046673165738,-0.09853769832042175,False,10.0
2016-01-22,7,True,ok,2014-01-03,2015-12-25,2016-01-01,2016-03-25,220940,98893892485.73526,-9.835883317381828,56703000000.0,3.0423559423049435e-10,1.3567194344690083e-07,90.21245418098482,17.894926324699927,0.9885046673165738,-0.09853769832042175,False,10.0
2016-01-29,7,True,ok,2014-01-03,2015-12-25,2016-01-01,2016-03-25,220940,100215490437.69115,-9.852323044355916,56703000000.0,1.4092462062526714e-10,7.209297512387413e-08,90.21245418098482,17.894926324699927,0.9885046673165738,-0.09853769832042175,False,10.0
2016-02-05,7,True,ok,2014-01-03,2015-12-25,2016-01-01,2016-03-25,220940,97240304107.6691,-9.859925975631146,56703000000.0,7.950646319238649e-10,3.055115010185721e-07,90.21245418098482,17.894926324699927,0.9885046673165738,-0.09853769832042175,False,10.0
2016-02-12,7,True,ok,2014-01-03,2015-12-25,2016-01-01,2016-03-25,220940,96434064892.06215,-9.883499155559653,56703000000.0,1.2685919738961033e-09,4.5570646750035125e-07,90.21245418098482,17.894926324699927,0.9885046673165738,-0.09853769832042175,False,10.0
2016-02-19,7,True,ok,2014-01-03,2015-12-25,2016-01-01,2016-03-25,220940,99204959422.34042,-9.887938013108098,56703000000.0,2.538628573286553e-10,1.201917824282004e-07,90.21245418098482,17.894926324699927,0.9885046673165738,-0.09853769832042175,False,10.0
2016-02-26,7,True,ok,2014-01-03,2015-12-25,2016-01-01,2016-03-25,220940,100335737153.3223,-9.900194722194533,58163000000.0,5.688748209037985e-10,2.3664591374346564e-07,90.21245418098482,17.894926324699927,0.9885046673165738,-0.09853769832042175,False,10.0
2016-03-04,7,True,ok,2014-01-03,2015-12-25,2016-01-01,2016-03-25,220940,100577091482.3615,-9.904746030653996,58163000000.0,4.962094318121851e-10,2.118090589565216e-07,90.21245418098482,17.894926324699927,0.9885046673165738,-0.09853769832042175,False,10.0
2016-03-11,7,True,ok,2014-01-03,2015-12-25,2016-01-01,2016-03-25,220940,101987068710.67929,-9.852877823172607,58163000000.0,2.2308156928882566e-10,1.0578626601785852e-07,90.21245418098482,17.894926324699927,0.9885046673165738,-0.09853769832042175,False,10.0
